Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
pomadasys crocro,reef-rubble-associated invertebrate feeders,BURRO GRUNT,Reef invertebrate feeders,46,1.72994,25,0,1.32115,27,24,24,25,1
pontinus longispinis,reef-rubble-associated invertebrate feeders,LONGSPINE SCORPIONFISH,Reef invertebrate feeders,46,1.43694,20,0,1.07864,22,19,19,20,1
priacanthus arenatus,reef-rubble-associated invertebrate feeders,BIGEYE,Reef invertebrate feeders,46,2.04264,35,0,1.72421,35,31,31,32,1
pristigenys alta,reef-rubble-associated invertebrate feeders,SHORT BIGEYE,Reef invertebrate feeders,46,1.25797,20,0,1.02987,21,19,18,19,1
scorpaena plumieri,reef-rubble-associated invertebrate feeders,SPOTTED SCORPIONFISH,Reef invertebrate feeders,46,0.8227,30,0,1.14221,23,21,20,21,1
serranus atrobranchus,reef-rubble-associated invertebrate feeders,BLACKEAR BASS,Reef invertebrate feeders,46,1.03866,9,0,0.58746,12,11,10,11,0
serranus phoebe,reef-rubble-associated invertebrate feeders,TATTLER,Reef invertebrate feeders,46,1.25578,15,0,0.86121,18,16,15,16,0
xyrichtys novacula,reef-rubble-associated invertebrate feeders,PEARLY RAZORFISH,Reef invertebrate feeders,46,1.37048,20,0,1.06102,22,19,19,20,1
alectis ciliaris,demersal coastal invertebrate feeders,AFRICAN POMPANO,Demersal coastal invertebrate feeders,47,4.40876,100,0,4.31811,89,78,77,81,2
ariopsis felis,demersal coastal invertebrate feeders,HARDHEAD SEA CATFISH,Demersal coastal invertebrate feeders,47,1.87561,25,0,1.35882,28,24,24,26,1
bagre marinus,demersal coastal invertebrate feeders,GAFFTOPSAIL CATFISH,Demersal coastal invertebrate feeders,47,2.47999,50,0,2.30076,47,41,41,43,1
bairdiella chrysoura,demersal coastal invertebrate feeders,SILVER PERCH,Demersal coastal invertebrate feeders,47,1.56165,20,0,1.11032,23,20,20,21,1
calamus arctifrons,demersal coastal invertebrate feeders,GRASS PORGY,Demersal coastal invertebrate feeders,47,1.9222,20,0,1.1935,24,22,21,22,1
chloroscombrus chrysurus,demersal coastal invertebrate feeders,ATLANTIC BUMPER,Demersal coastal invertebrate feeders,47,3.24179,25,0,1.64367,34,30,29,31,1
conodon nobilis,demersal coastal invertebrate feeders,BARRED GRUNT,Demersal coastal invertebrate feeders,47,1.25615,25,0,1.18198,24,21,21,22,1
diapterus auratus,demersal coastal invertebrate feeders,IRISH POMPANO,Demersal coastal invertebrate feeders,47,1.33198,20,0,1.05055,22,19,19,20,1
diapterus rhombeus,demersal coastal invertebrate feeders,SAND MOJARRA,Demersal coastal invertebrate feeders,47,0.81783,30,0,1.13985,23,21,20,21,1
eucinostomus argenteus,demersal coastal invertebrate feeders,SPOTFIN MOJARRA,Demersal coastal invertebrate feeders,47,2.35299,15,0,1.07141,22,19,19,20,1
eucinostomus gula,demersal coastal invertebrate feeders,SILVER JENNY,Demersal coastal invertebrate feeders,47,2.13154,15,0,1.0352,21,19,18,19,1
eucinostomus havana,demersal coastal invertebrate feeders,BIGEYE MOJARRA,Demersal coastal invertebrate feeders,47,1.90184,14,0,0.95332,20,17,17,18,0
eugerres plumieri,demersal coastal invertebrate feeders,STRIPED MOJARRA,Demersal coastal invertebrate feeders,47,0.91678,30,0,1.18604,24,21,21,22,1
galeichthys feliceps,demersal coastal invertebrate feeders,WHITE BARBEL,Demersal coastal invertebrate feeders,47,1.85501,35,0,1.66738,34,30,30,31,1
gerres cinereus,demersal coastal invertebrate feeders,YELLOWFIN MOJARRA,Demersal coastal invertebrate feeders,47,2.45534,30,0,1.67073,34,30,30,31,1
larimus fasciatus,demersal coastal invertebrate feeders,BANDED DRUM,Demersal coastal invertebrate feeders,47,1.36443,16,0,0.92259,19,17,16,17,0
leiostomus xanthurus,demersal coastal invertebrate feeders,SPOT CROAKER,Demersal coastal invertebrate feeders,47,1.54116,25,0,1.2691,26,23,23,24,1
menticirrhus americanus,demersal coastal invertebrate feeders,SOUTHERN KINGCROAKER,Demersal coastal invertebrate feeders,47,1.29627,30,0,1.33789,27,24,24,25,1
menticirrhus littoralis,demersal coastal invertebrate feeders,GULF KINGFISH,Demersal coastal invertebrate feeders,47,1.05793,30,0,1.24661,26,22,22,23,1
menticirrhus saxatilis,demersal coastal invertebrate feeders,NORTHERN KINGFISH,Demersal coastal invertebrate feeders,47,1.28396,30,0,1.33346,27,24,24,25,1
micropogonias furnieri,demersal coastal invertebrate feeders,WHITEMOUTH CROAKER,Demersal coastal invertebrate feeders,47,1.79041,45,0,1.92445,40,35,34,36,1
micropogonias undulatus,demersal coastal invertebrate feeders,ATLANTIC CROAKER,Demersal coastal invertebrate feeders,47,1.25815,30,0,1.32407,27,24,24,25,1
mulloidichthys martinicus,demersal coastal invertebrate feeders,YELLOW GOATFISH,Demersal coastal invertebrate feeders,47,2.25711,28,0,1.55462,32,28,28,29,1
oligoplites saurus,demersal coastal invertebrate feeders,LEATHERJACKET,Demersal coastal invertebrate feeders,47,3.35261,27,0,1.74422,36,31,31,33,1
orthopristis chrysoptera,demersal coastal invertebrate feeders,PIGFISH,Demersal coastal invertebrate feeders,47,1.82519,30,0,1.50698,31,27,27,28,1
pagrus pagrus,demersal coastal invertebrate feeders,RED PORGY,Demersal coastal invertebrate feeders,47,2.01971,35,0,1.71745,35,31,31,32,1
pogonias cromis,demersal coastal invertebrate feeders,BLACK DRUM,Demersal coastal invertebrate feeders,47,1.24731,50,0,1.8116,37,33,32,34,1
porichthys plectrodon,demersal coastal invertebrate feeders,ATLANTIC MIDSHIPMAN,Demersal coastal invertebrate feeders,47,0.40724,20,0,0.6957,14,13,12,13,0
pseudupeneus maculatus,demersal coastal invertebrate feeders,SPOTTED GOATFISH,Demersal coastal invertebrate feeders,47,2.20615,22,0,1.32825,27,24,24,25,1
selene setapinnis,demersal coastal invertebrate feeders,"MOONFISH, ATLANTIC",Demersal coastal invertebrate feeders,47,3.53148,25,0,1.69334,35,31,30,32,1
selene vomer,demersal coastal invertebrate feeders,LOOKDOWN,Demersal coastal invertebrate feeders,47,3.71308,35,0,2.12255,44,38,38,40,1
stellifer lanceolatus,demersal coastal invertebrate feeders,STAR DRUM,Demersal coastal invertebrate feeders,47,1.36707,13,0,0.81176,17,15,14,15,0
stenotomus caprinus,demersal coastal invertebrate feeders,LONGSPINE PORGY,Demersal coastal invertebrate feeders,47,2.14593,15,0,1.03763,21,19,19,20,1
synagrops bellus,demersal coastal invertebrate feeders,BLACKMOUTH BASS,Demersal coastal invertebrate feeders,47,1.43279,20,0,1.07755,22,19,19,20,1
trachinotus carolinus,demersal coastal invertebrate feeders,"POMPANO, FLORIDA",Demersal coastal invertebrate feeders,47,2.54818,40,1,10.76523,221,194,192,202,5
trachinotus falcatus,demersal coastal invertebrate feeders,PERMIT,Demersal coastal invertebrate feeders,47,2.86958,94,1,19.04931,391,343,340,358,10
trachinotus goodei,demersal coastal invertebrate feeders,PALOMETA POMPANO,Demersal coastal invertebrate feeders,47,2.39325,35,1,9.69654,199,175,173,182,5
umbrina coroides,demersal coastal invertebrate feeders,SAND DRUM,Demersal coastal invertebrate feeders,47,2.17568,25,0,1.4308,29,26,26,27,1
upeneus parvus,demersal coastal invertebrate feeders,DWARF GOATFISH,Demersal coastal invertebrate feeders,47,2.03752,20,0,1.21793,25,22,22,23,1
sciaenops ocellatus,red drum,"DRUM, RED",Red drum,48,1.48766,100,0,2.95935,61,53,53,56,1
achirus lineatus,benthic coastal invertebrate feeders,LINED SOLE,Benthic coastal invertebrate feeders,49,1.21399,17,0,0.91976,19,17,16,17,0
bothus ocellatus,benthic coastal invertebrate feeders,EYED FLOUNDER,Benthic coastal invertebrate feeders,49,1.04347,12,0,0.70321,14,13,13,13,0
brotula barbata,benthic coastal invertebrate feeders,BROTULA,Benthic coastal invertebrate feeders,49,1.08173,50,0,1.72405,35,31,31,32,1
citharichthys spilopterus,benthic coastal invertebrate feeders,BAY WHIFF,Benthic coastal invertebrate feeders,49,1.27967,15,0,0.86687,18,16,15,16,0
ctenogobius boleosoma,benthic coastal invertebrate feeders,DARTER GOBY,Benthic coastal invertebrate feeders,49,0.42897,4,0,0.26133,5,5,5,5,0
dactylopterus volitans,benthic coastal invertebrate feeders,FLYING GURNARD,Benthic coastal invertebrate feeders,49,1.47427,38,0,1.61981,33,29,29,30,1
diplectrum bivittatum,benthic coastal invertebrate feeders,DWARF SAND PERCH,Benthic coastal invertebrate feeders,49,1.4157,12,0,0.78193,16,14,14,15,0
diplectrum formosum,benthic coastal invertebrate feeders,SAND PERCH,Benthic coastal invertebrate feeders,49,1.87932,16,0,1.03126,21,19,18,19,1
etropus crossotus,benthic coastal invertebrate feeders,FRINGED FLOUNDER,Benthic coastal invertebrate feeders,49,1.291,15,0,0.86953,18,16,16,16,0
gobiosoma robustum,benthic coastal invertebrate feeders,CODE GOBY,Benthic coastal invertebrate feeders,49,0.73036,2.9,0,0.25766,5,5,5,5,0
lepophidium profundorum,benthic coastal invertebrate feeders,FAWN CUSK EEL,Benthic coastal invertebrate feeders,49,1.08173,22,0,1.03665,21,19,19,19,1
microgobius gulosus,benthic coastal invertebrate feeders,CLOWN GOBY,Benthic coastal invertebrate feeders,49,0.43617,5.35,0,0.31475,6,6,6,6,0
polydactylus octonemus,benthic coastal invertebrate feeders,ATLANTIC THREADFIN,Benthic coastal invertebrate feeders,49,2.62913,25,0,1.52818,31,28,27,29,1
polydactylus virginicus,benthic coastal invertebrate feeders,BARBU THREADFIN,Benthic coastal invertebrate feeders,49,0.85452,20,0,0.90027,18,16,16,17,0
scorpaena brasiliensis,benthic coastal invertebrate feeders,BARBFISH,Benthic coastal invertebrate feeders,49,1.03634,20,0,0.96274,20,17,17,18,0
syacium gunteri,benthic coastal invertebrate feeders,SHOAL FLOUNDER,Benthic coastal invertebrate feeders,49,1.52055,15,0,0.92046,19,17,16,17,0
syacium papillosum,benthic coastal invertebrate feeders,DUSKY FLOUNDER,Benthic coastal invertebrate feeders,49,1.4472,20,0,1.08131,22,19,19,20,1
trinectes maculatus,benthic coastal invertebrate feeders,HOGCHOKER,Benthic coastal invertebrate feeders,49,1.3039,11,0,0.71999,15,13,13,14,0
urophycis cirrata,benthic coastal invertebrate feeders,GULF HAKE,Benthic coastal invertebrate feeders,49,0.86119,40,0,1.38696,28,25,25,26,1
urophycis floridana,benthic coastal invertebrate feeders,SOUTHERN HAKE,Benthic coastal invertebrate feeders,49,0.59073,25,0,0.90919,19,16,16,17,0
urophycis regia,benthic coastal invertebrate feeders,SPOTTED HAKE,Benthic coastal invertebrate feeders,49,0.85944,17,0,0.81565,17,15,15,15,0
caulolatilus chrysops,tilefish,"TILEFISH, GOLDFACE",Tilefish,50,2.01309,44,0,1.97682,41,36,35,37,1
caulolatilus cyanops,tilefish,BLACKLINE TILEFISH,Tilefish,50,1.7919,30,0,1.49736,31,27,27,28,1
caulolatilus microps,tilefish,BLUELINE TILEFISH,Tilefish,50,1.95094,55,0,2.24531,46,40,40,42,1
lopholatilus chamaeleonticeps,tilefish,GOLDEN TILEFISH,Tilefish,50,1.27675,90,0,2.62877,54,47,47,49,1
malacanthus plumieri,tilefish,SAND TILEFISH,Tilefish,50,1.24958,50,0,1.81274,37,33,32,34,1
balistes capriscus,gray triggerfish,GRAY TRIGGERFISH,Gray triggerfish,51,1.60207,44,0,1.82588,37,33,33,34,1
acanthostracion polygonius,coastal omnivores,HONEYCOMB COWFISH,Coastal omnivores,52,0.37507,25,0,0.77632,16,14,14,15,0
acanthostracion quadricornis,coastal omnivores,SCRAWLED COWFISH,Coastal omnivores,52,1.36959,20,0,1.06078,22,19,19,20,1
aluterus monoceros,coastal omnivores,UNICORN FILEFISH,Coastal omnivores,52,1.54127,40,0,1.69817,35,31,30,32,1
aluterus schoepfii,coastal omnivores,ORANGE FILEFISH,Coastal omnivores,52,0.66221,40,0,1.26584,26,23,23,24,1
aluterus scriptus,coastal omnivores,SCRAWLED FILEFISH,Coastal omnivores,52,0.8646,55,0,1.69181,35,30,30,32,1
cantherhines pullus,coastal omnivores,ORANGESPOTTED FILEFISH,Coastal omnivores,52,2.01759,14,0,0.97311,20,18,17,18,0
chaetodipterus faber,coastal omnivores,ATLANTIC SPADEFISH,Coastal omnivores,52,3.23259,50.4,0,2.53541,52,46,45,48,1
diodon holocanthus,coastal omnivores,LONGSPINE PORCUPINEFISH,Coastal omnivores,52,0.78705,15,0,0.73204,15,13,13,14,0
diodon hystrix,coastal omnivores,SPOT-FIN PORCUPINEFISH,Coastal omnivores,52,1.53265,40,0,1.69486,35,31,30,32,1
lactophrys bicaudalis,coastal omnivores,SPOTTED TRUNKFISH,Coastal omnivores,52,1.35281,20,0,1.05624,22,19,19,20,1
lactophrys trigonus,coastal omnivores,BUFFALO TRUNKFISH,Coastal omnivores,52,1.2715,30,0,1.32894,27,24,24,25,1
lagocephalus laevigatus,coastal omnivores,SMOOTH PUFFER,Coastal omnivores,52,1.77673,60,0,2.29383,47,41,41,43,1
lagodon rhomboides,coastal omnivores,PINFISH,Coastal omnivores,52,2.21993,18,0,1.1755,24,21,21,22,1
monacanthus ciliatus,coastal omnivores,FRINGED FILEFISH,Coastal omnivores,52,1.45086,10,0,0.70439,14,13,13,13,0
sphoeroides dorsalis,coastal omnivores,MARBLED PUFFER,Coastal omnivores,52,1.6972,18,0,1.0707,22,19,19,20,1
sphoeroides nephelus,coastal omnivores,SOUTHERN PUFFER,Coastal omnivores,52,1.6972,20,0,1.14293,23,21,20,21,1
sphoeroides spengleri,coastal omnivores,BANDTAIL PUFFER,Coastal omnivores,52,1.97225,12,0,0.8775,18,16,16,16,0
sphoeroides testudineus,coastal omnivores,CHECKERED PUFFER,Coastal omnivores,52,1.42214,20,0,1.07476,22,19,19,20,1
stephanolepis setifer,coastal omnivores,PYGMY FILEFISH,Coastal omnivores,52,0.80885,10,0,0.57485,12,10,10,11,0
abudefduf saxatilis,reef omnivores,SERGEANT MAJOR,Reef omnivores,53,1.53883,15,0,0.9243,19,17,16,17,0
abudefduf taurus,reef omnivores,NIGHT SERGEANT,Reef omnivores,53,1.45573,20,0,1.08352,22,20,19,20,1
acanthurus bahianus,reef omnivores,OCEAN SURGEON,Reef omnivores,53,2.42851,25,0,1.48657,31,27,27,28,1
acanthurus chirurgus,reef omnivores,DOCTORFISH,Reef omnivores,53,1.86717,35,0,1.67117,34,30,30,31,1
acanthurus coeruleus,reef omnivores,BLUE TANG,Reef omnivores,53,3.48929,25,0,1.68627,35,30,30,32,1
balistes vetula,reef omnivores,QUEEN TRIGGERFISH,Reef omnivores,53,2.78562,30,0,1.74569,36,31,31,33,1
chromis multilineata,reef omnivores,BROWN CHROMIS,Reef omnivores,53,1.56268,12,0,0.80926,17,15,14,15,0
holacanthus bermudensis,reef omnivores,BLUE ANGELFISH,Reef omnivores,53,1.19066,35,0,1.4291,29,26,26,27,1
holacanthus ciliaris,reef omnivores,QUEEN ANGELFISH,Reef omnivores,53,0.80296,30,0,1.1326,23,20,20,21,1
holacanthus tricolor,reef omnivores,ROCK BEAUTY,Reef omnivores,53,1.10038,30,0,1.26378,26,23,23,24,1
kyphosus incisor,reef omnivores,YELLOW CHUB,Reef omnivores,53,2.86808,45,0,2.26715,47,41,40,43,1
kyphosus sectatrix,reef omnivores,BERMUDA SEA CHUB,Reef omnivores,53,2.7147,50,0,2.37427,49,43,42,45,1
melichthys niger,reef omnivores,BLACK DURGON,Reef omnivores,53,2.27712,30,0,1.62751,33,29,29,31,1
microspathodon chrysurus,reef omnivores,YELLOWTAIL DAMSELFISH,Reef omnivores,53,1.08705,15,0,0.81906,17,15,15,15,0
pomacanthus arcuatus,reef omnivores,GRAY ANGELFISH,Reef omnivores,53,2.06313,45,0,2.02173,42,36,36,38,1
pomacanthus paru,reef omnivores,FRENCH ANGELFISH,Reef omnivores,53,1.82706,28,0,1.44443,30,26,26,27,1
scarus iseri,reef omnivores,STRIPED PARROTFISH,Reef omnivores,53,1.31655,18,0,0.98018,20,18,17,18,0
scarus taeniopterus,reef omnivores,PRINCESS PARROTFISH,Reef omnivores,53,1.05368,22,0,1.02722,21,19,18,19,1
sparisoma aurofrenatum,reef omnivores,REDBAND PARROTFISH,Reef omnivores,53,1.20148,20,0,1.01355,21,18,18,19,1
sparisoma chrysopterum,reef omnivores,REDTAIL PARROTFISH,Reef omnivores,53,1.35053,25,0,1.21214,25,22,22,23,1
sparisoma radians,reef omnivores,BUCKTOOTH PARROTFISH,Reef omnivores,53,1.12435,15,0,0.82872,17,15,15,16,0
sparisoma viride,reef omnivores,STOPLIGHT PARROTFISH,Reef omnivores,53,1.12955,38,0,1.4765,30,27,26,28,1
cheilopogon cyanopterus,surface pelagics,MARGINED FLYINGFISH,Surface pelagics,54,2.49332,25,0,1.50025,31,27,27,28,1
cheilopogon melanurus,surface pelagics,ATLANTIC FLYINGFISH,Surface pelagics,54,2.88078,25,1,8.39617,172,151,150,158,4
cypselurus comatus,surface pelagics,CLEARWING FLYINGFISH,Surface pelagics,54,3.46729,15,1,6.52551,134,118,116,123,3
exocoetus obtusirostris,surface pelagics,OCEANIC TWO-WING FLYINGFISH,Surface pelagics,54,2.06374,20,1,6.51111,134,117,116,122,3
exocoetus volitans,surface pelagics,TROPICAL TWO-WING FLYINGFISH,Surface pelagics,54,1.79838,20,1,6.20677,127,112,111,117,3
hemiramphus balao,surface pelagics,BALAO,Surface pelagics,54,2.62357,35,1,10.01141,206,180,179,188,5
hemiramphus brasiliensis,surface pelagics,BALLYHOO HALFBEAK,Surface pelagics,54,2.34456,35,1,9.62746,198,173,172,181,5
hirundichthys affinis,surface pelagics,FOURWING FLYINGFISH,Surface pelagics,54,3.03704,24,1,8.33825,171,150,149,157,4
hirundichthys rondeletii,surface pelagics,ATLANTIC BLACK WING FLYINGFISH,Surface pelagics,54,2.91345,20,1,7.34073,151,132,131,138,4
hyporhamphus unifasciatus,surface pelagics,COMMON HALFBEAK,Surface pelagics,54,2.0737,20,1,6.52202,134,118,116,123,3
parexocoetus brachypterus,surface pelagics,SAILFIN FLYINGFISH,Surface pelagics,54,3.00754,16,1,6.4639,133,116,115,122,3
scomberesox saurus,surface pelagics,ATLANTIC SAURY,Surface pelagics,54,2.16753,32,1,8.86216,182,160,158,167,4
cetorhinus maximus,large oceanic planktivores,BASKING SHARK,Large oceanic planktivores,55,3.16209,700,1,68.36185,1403,1232,1220,1285,35
alosa chrysochloris,sardine-herring-scad,SKIPJACK HERRING,Sardine-herring-scad,57,3.36921,37.5,1,11.3984,234,205,203,214,6
decapterus macarellus,sardine-herring-scad,MACKEREL SCAD,Sardine-herring-scad,57,4.4389,30,1,10.92564,224,197,195,205,6
decapterus punctatus,sardine-herring-scad,ROUND SCAD,Sardine-herring-scad,57,2.68693,18,1,6.68594,137,120,119,126,3
decapterus tabl,sardine-herring-scad,REDTAIL SCAD,Sardine-herring-scad,57,4.13456,25,1,9.52046,195,172,170,179,5
dorosoma cepedianum,sardine-herring-scad,AMERICAN GIZZARD SHAD,Sardine-herring-scad,57,2.22035,35,1,9.44691,194,170,169,178,5
dorosoma petenense,sardine-herring-scad,THREADFIN SHAD,Sardine-herring-scad,57,2.90238,10,1,4.7714,98,86,85,90,2
etrumeus sadina,sardine-herring-scad,RED-EYE ROUND HERRING,Sardine-herring-scad,57,1.97225,25,1,7.35955,151,133,131,138,4
harengula clupeola,sardine-herring-scad,FALSE HERRING,Sardine-herring-scad,57,1.63819,10,1,3.91071,80,70,70,74,2
harengula humeralis,sardine-herring-scad,REDEAR SARDINE,Sardine-herring-scad,57,2.54586,15,1,5.86078,120,106,105,110,3
harengula jaguana,sardine-herring-scad,SCALED SARDINE,Sardine-herring-scad,57,3.39567,12,1,5.64179,116,102,101,106,3
opisthonema oglinum,sardine-herring-scad,THREAD HERRING,Sardine-herring-scad,57,1.1929,20,1,5.38098,110,97,96,101,3
sardinella aurita,sardine-herring-scad,ROUND SARDINELLA,Sardine-herring-scad,57,1.59116,25,1,6.82998,140,123,122,128,3
sardinella brasiliensis,sardine-herring-scad,BRAZILIAN SARDINELLA,Sardine-herring-scad,57,1.06558,20,1,5.17384,106,93,92,97,3
trachurus lathami,sardine-herring-scad,ROUGH SCAD,Sardine-herring-scad,57,1.85523,30,1,8.06628,166,145,144,152,4
brevoortia patronus,menhaden,GULF MENHADEN,Menhaden (0yr),"58,59,60,61,62",1.51921,20,1,5.85309,120,105,104,110,3
anchoa cayorum,anchovies-silversides-killifish,KEY ANCHOVY,Anchovy-silverside-killifish,63,1.37548,8,1,3.20486,66,58,57,60,2
anchoa hepsetus,anchovies-silversides-killifish,STRIPED ANCHOVY,Anchovy-silverside-killifish,63,2.88003,11,1,5.04807,104,91,90,95,3
anchoa lyolepis,anchovies-silversides-killifish,DUSKY ANCHOVY,Anchovy-silverside-killifish,63,1.03963,9,1,3.12766,64,56,56,59,2
anchoa mitchilli,anchovies-silversides-killifish,BAY ANCHOVY,Anchovy-silverside-killifish,63,3.39229,5.95,1,3.65171,75,66,65,69,2
atherinomorus stipes,anchovies-silversides-killifish,HARDHEAD SILVERSIDE,Anchovy-silverside-killifish,63,2.56911,7.5,1,3.82658,79,69,68,72,2
cyprinodon variegatus variegatus,anchovies-silversides-killifish,SHEEPSHEAD MINNOW,Anchovy-silverside-killifish,63,1.40865,3,1,1.75986,36,32,31,33,1
dormitator maculatus,anchovies-silversides-killifish,FAT SLEEPER,Anchovy-silverside-killifish,63,0.84165,14.5,1,3.9052,80,70,70,73,2
fundulus grandis,anchovies-silversides-killifish,GULF KILLIFISH,Anchovy-silverside-killifish,63,1.26754,10.4,1,3.66492,75,66,65,69,2
hypoatherina harringtonensis,anchovies-silversides-killifish,REEF SILVERSIDE,Anchovy-silverside-killifish,63,1.35899,6,1,2.67039,55,48,48,50,1
lucania parva,anchovies-silversides-killifish,RAINWATER KILLIFISH,Anchovy-silverside-killifish,63,1.56345,3.65,1,2.06063,42,37,37,39,1
menidia beryllina,anchovies-silversides-killifish,INLAND SILVERSIDE,Anchovy-silverside-killifish,63,1.3888,7.75,1,3.15298,65,57,56,59,2
mugil cephalus,mullet,STRIPED MULLET,Mullet,64,2.2795,50,0,2.23428,46,40,40,42,1
mugil curema,mullet,WHITE MULLET,Mullet,64,1.90961,30,0,1.53086,31,28,27,29,1
mugil trichodon,mullet,FANTAIL MULLET,Mullet,64,1.91617,15,0,0.99755,20,18,18,19,1
peprilus paru,butterfish,AMERICAN HARVESTFISH,Butterfish,65,2.39912,18,0,1.20767,25,22,22,23,1
peprilus triacanthus,butterfish,BUTTERFISH,Butterfish,65,2.83357,20,0,1.36597,28,25,24,26,1
